run_id,scale,structure,pe_type,mixing_ratio,ood_accuracy,samples_tested,ckpt_used
large_balanced_ape_ratio0.0_N1000000,large,balanced,ape,0.0,0.0,10000,ckpt_ep3
large_balanced_ape_ratio0.5_N1000000,large,balanced,ape,0.5,0.0,10000,ckpt_ep3
large_balanced_ape_ratio1.0_N1000000,large,balanced,ape,1.0,0.0,10000,ckpt_ep3
large_balanced_rope_ratio0.0_N1000000,large,balanced,rope,0.0,0.0,10000,ckpt_ep3
large_balanced_rope_ratio0.5_N1000000,large,balanced,rope,0.5,0.0,10000,ckpt_ep3
large_balanced_rope_ratio1.0_N1000000,large,balanced,rope,1.0,0.0,10000,ckpt_ep3
large_deep_ape_ratio0.0_N1000000,large,deep,ape,0.0,0.0,10000,ckpt_ep3
large_deep_ape_ratio0.5_N1000000,large,deep,ape,0.5,0.0,10000,ckpt_ep3
large_deep_ape_ratio1.0_N1000000,large,deep,ape,1.0,0.0,10000,ckpt_ep3
large_deep_rope_ratio0.0_N1000000,large,deep,rope,0.0,0.0,10000,ckpt_ep3
large_deep_rope_ratio0.5_N1000000,large,deep,rope,0.5,0.0,10000,ckpt_ep3
large_deep_rope_ratio1.0_N1000000,large,deep,rope,1.0,0.0,10000,ckpt_ep3
large_wide_ape_ratio0.0_N1000000,large,wide,ape,0.0,0.0,10000,ckpt_ep3
large_wide_ape_ratio0.5_N1000000,large,wide,ape,0.5,0.0,10000,ckpt_ep3
large_wide_ape_ratio1.0_N1000000,large,wide,ape,1.0,0.0,10000,ckpt_ep3
large_wide_rope_ratio0.0_N1000000,large,wide,rope,0.0,0.0,10000,ckpt_ep3
large_wide_rope_ratio0.5_N1000000,large,wide,rope,0.5,0.0,10000,ckpt_ep3
large_wide_rope_ratio1.0_N1000000,large,wide,rope,1.0,0.0,10000,ckpt_ep3
medium_balanced_ape_ratio0.0_N1000000,medium,balanced,ape,0.0,0.0,10000,ckpt_ep3
medium_balanced_ape_ratio0.5_N1000000,medium,balanced,ape,0.5,0.0,10000,ckpt_ep3
medium_balanced_ape_ratio1.0_N1000000,medium,balanced,ape,1.0,0.0,10000,ckpt_ep3
medium_balanced_rope_ratio0.0_N1000000,medium,balanced,rope,0.0,0.0,10000,ckpt_ep3
medium_balanced_rope_ratio0.5_N1000000,medium,balanced,rope,0.5,0.0,10000,ckpt_ep3
medium_balanced_rope_ratio1.0_N1000000,medium,balanced,rope,1.0,0.0,10000,ckpt_ep3
medium_deep_ape_ratio0.0_N1000000,medium,deep,ape,0.0,0.0,10000,ckpt_ep3
medium_deep_ape_ratio0.5_N1000000,medium,deep,ape,0.5,0.0,10000,ckpt_ep3
medium_deep_ape_ratio1.0_N1000000,medium,deep,ape,1.0,0.0,10000,ckpt_ep3
medium_deep_rope_ratio0.0_N1000000,medium,deep,rope,0.0,0.0,10000,ckpt_ep3
medium_deep_rope_ratio0.5_N1000000,medium,deep,rope,0.5,0.0,10000,ckpt_ep3
medium_deep_rope_ratio1.0_N1000000,medium,deep,rope,1.0,0.0,10000,ckpt_ep3
medium_wide_ape_ratio0.0_N1000000,medium,wide,ape,0.0,0.0,10000,ckpt_ep3
medium_wide_ape_ratio0.5_N1000000,medium,wide,ape,0.5,0.0,10000,ckpt_ep3
medium_wide_ape_ratio1.0_N1000000,medium,wide,ape,1.0,0.0,10000,ckpt_ep3
medium_wide_rope_ratio0.0_N1000000,medium,wide,rope,0.0,0.0,10000,ckpt_ep3
medium_wide_rope_ratio0.5_N1000000,medium,wide,rope,0.5,0.0,10000,ckpt_ep3
medium_wide_rope_ratio1.0_N1000000,medium,wide,rope,1.0,0.0,10000,ckpt_ep3
small_balanced_ape_ratio0.0_N1000000,small,balanced,ape,0.0,0.0,10000,ckpt_ep3
small_balanced_ape_ratio0.5_N1000000,small,balanced,ape,0.5,0.0,10000,ckpt_ep3
small_balanced_ape_ratio1.0_N1000000,small,balanced,ape,1.0,0.0,10000,ckpt_ep3
small_balanced_rope_ratio0.0_N1000000,small,balanced,rope,0.0,0.0,10000,ckpt_ep3
small_balanced_rope_ratio0.5_N1000000,small,balanced,rope,0.5,0.0,10000,ckpt_ep3
small_balanced_rope_ratio1.0_N1000000,small,balanced,rope,1.0,0.0,10000,ckpt_ep3
small_deep_ape_ratio0.0_N1000000,small,deep,ape,0.0,0.0,10000,ckpt_ep3
small_deep_ape_ratio0.5_N1000000,small,deep,ape,0.5,0.0,10000,ckpt_ep3
small_deep_ape_ratio1.0_N1000000,small,deep,ape,1.0,0.0,10000,ckpt_ep3
small_deep_rope_ratio0.0_N1000000,small,deep,rope,0.0,0.0,10000,ckpt_ep3
small_deep_rope_ratio0.5_N1000000,small,deep,rope,0.5,0.0,10000,ckpt_ep3
small_deep_rope_ratio1.0_N1000000,small,deep,rope,1.0,0.0,10000,ckpt_ep3
small_wide_ape_ratio0.0_N1000000,small,wide,ape,0.0,0.0,10000,ckpt_ep3
small_wide_ape_ratio0.5_N1000000,small,wide,ape,0.5,0.0,10000,ckpt_ep3
small_wide_ape_ratio1.0_N1000000,small,wide,ape,1.0,0.0,10000,ckpt_ep3
small_wide_rope_ratio0.0_N1000000,small,wide,rope,0.0,0.0,10000,ckpt_ep3
small_wide_rope_ratio0.5_N1000000,small,wide,rope,0.5,0.0,10000,ckpt_ep3
small_wide_rope_ratio1.0_N1000000,small,wide,rope,1.0,0.0,10000,ckpt_ep3
